,Province_State,Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID
137,Unassigned,Colombia,2021-06-13,0,,,2021/06/13,17034.0
138,Valle del Cauca,Colombia,2021-06-13,1198166,,,2021/06/13,17031.0
139,Vaupes,Colombia,2021-06-13,15386,,,2021/06/13,17032.0
140,Vichada,Colombia,2021-06-13,7513,,,2021/06/13,17033.0
141,,Costa Rica,2021-06-13,1906177,1219551.0,686626.0,2021/06/13,188.0
142,,Cote d'Ivoire,2021-06-13,662848,662848.0,0.0,2021/06/13,384.0
143,,Croatia,2021-06-13,2042889,1386564.0,656325.0,2021/06/13,191.0
144,,Cyprus,2021-06-13,681219,415577.0,265642.0,2021/06/13,196.0
145,,Czechia,2021-06-13,6436606,4456212.0,2046806.0,2021/06/13,203.0
146,,Denmark,2021-06-13,4066856,2609733.0,1457123.0,2021/06/13,208.0
147,Faroe Islands,Denmark,2021-06-13,38242,,,2021/06/13,234.0
148,Greenland,Denmark,2021-06-13,28827,,,2021/06/13,304.0
149,,Dominica,2021-06-13,37400,19970.0,17430.0,2021/06/13,212.0
150,,Dominican Republic,2021-06-13,6050983,4223427.0,1827556.0,2021/06/13,214.0
151,,Ecuador,2021-06-13,2788245,1877548.0,910697.0,2021/06/13,218.0
152,,Egypt,2021-06-13,3340216,2820175.0,520041.0,2021/06/13,818.0
153,,El Salvador,2021-06-13,2231365,1300747.0,930618.0,2021/06/13,222.0
154,,Equatorial Guinea,2021-06-13,236189,148579.0,87610.0,2021/06/13,226.0
155,,Estonia,2021-06-13,806585,516564.0,290021.0,2021/06/13,233.0
156,,Eswatini,2021-06-13,35227,35227.0,0.0,2021/06/13,748.0
157,,Ethiopia,2021-06-13,1920676,1894717.0,0.0,2021/06/13,231.0
158,,Fiji,2021-06-13,223429,218830.0,4599.0,2021/06/13,242.0
159,,Finland,2021-06-13,3421475,2744650.0,676825.0,2021/06/13,246.0
160,,France,2021-06-13,43204513,29849065.0,13776913.0,2021/06/13,250.0
161,,Gabon,2021-06-13,33591,22132.0,9973.0,2021/06/13,266.0
162,,Gambia,2021-06-13,40810,30421.0,10389.0,2021/06/13,270.0
163,,Georgia,2021-06-13,249268,191001.0,58267.0,2021/06/13,268.0
164,,Germany,2021-06-13,60105411,39539170.0,20648461.0,2021/06/13,276.0
165,,Ghana,2021-06-13,1228216,852047.0,376169.0,2021/06/13,288.0
166,,Greece,2021-06-13,6665626,4160286.0,2660260.0,2021/06/13,300.0
167,,Grenada,2021-06-13,26975,17970.0,9005.0,2021/06/13,308.0
168,,Guatemala,2021-06-13,661648,517630.0,129709.0,2021/06/13,320.0
169,,Guinea,2021-06-13,396675,289337.0,95637.0,2021/06/13,324.0
170,,Guyana,2021-06-13,294053,214251.0,79802.0,2021/06/13,328.0
171,,Honduras,2021-06-13,447023,390063.0,56960.0,2021/06/13,340.0
172,,Hungary,2021-06-13,9424351,5311475.0,4112876.0,2021/06/13,348.0
173,,Iceland,2021-06-13,343616,214971.0,128645.0,2021/06/13,352.0
174,,India,2021-06-13,253195048,197415653.0,46287589.0,2021/06/13,356.0
175,Andaman and Nicobar Islands,India,2021-06-13,131034,,,2021/06/13,35601.0
176,Andhra Pradesh,India,2021-06-13,11850826,,,2021/06/13,35602.0
177,Arunachal Pradesh,India,2021-06-13,410427,,,2021/06/13,35603.0
178,Assam,India,2021-06-13,4754657,,,2021/06/13,35604.0
179,Bihar,India,2021-06-13,11926619,,,2021/06/13,35605.0
180,Chandigarh,India,2021-06-13,401095,,,2021/06/13,35606.0
181,Chhattisgarh,India,2021-06-13,7205436,,,2021/06/13,35607.0
182,Dadra and Nagar Haveli and Daman and Diu,India,2021-06-13,266564,,,2021/06/13,35608.0
183,Delhi,India,2021-06-13,6074187,,,2021/06/13,35609.0
184,Goa,India,2021-06-13,621327,,,2021/06/13,35610.0
185,Gujarat,India,2021-06-13,20038418,,,2021/06/13,35611.0
186,Haryana,India,2021-06-13,6735642,,,2021/06/13,35612.0
187,Himachal Pradesh,India,2021-06-13,2587433,,,2021/06/13,35613.0
188,Jammu and Kashmir,India,2021-06-13,3646922,,,2021/06/13,35614.0
189,Jharkhand,India,2021-06-13,4991249,,,2021/06/13,35615.0
190,Karnataka,India,2021-06-13,16852198,,,2021/06/13,35616.0
191,Kerala,India,2021-06-13,11164895,,,2021/06/13,35617.0
192,Ladakh,India,2021-06-13,191051,,,2021/06/13,35618.0
193,Lakshadweep,India,2021-06-13,46160,,,2021/06/13,35637.0
194,Madhya Pradesh,India,2021-06-13,13885323,,,2021/06/13,35619.0
195,Maharashtra,India,2021-06-13,25817728,,,2021/06/13,35620.0
196,Manipur,India,2021-06-13,537380,,,2021/06/13,35621.0
197,Meghalaya,India,2021-06-13,501647,,,2021/06/13,35622.0
198,Mizoram,India,2021-06-13,344044,,,2021/06/13,35623.0
199,Nagaland,India,2021-06-13,332806,,,2021/06/13,35624.0
200,Odisha,India,2021-06-13,8965839,,,2021/06/13,35625.0
201,Puducherry,India,2021-06-13,324318,,,2021/06/13,35626.0
